Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
dorado_barcode11	(1.0, 99.93368724699194)	(2.0, 0.024333467885858325)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.005997040731743912)	(7.0, 0.0)	(8.0, 0.015992108617983766)	(9.0, 0.0)	('>10', 0.019990135772479708)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dorado_barcode12	(1.0, 89.85126859142608)	(2.0, 1.2248468941382327)	(3.0, 0.26246719160104987)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 2.712160979877515)	('>50', 5.94925634295713)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dorado_barcode13	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dorado_barcode14	(1.0, 99.78755045676651)	(2.0, 0.04248990864669641)	(3.0, 0.06373486297004462)	(4.0, 0.0)	(5.0, 0.10622477161674101)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dorado_barcode15	(1.0, 99.96188419146841)	(2.0, 0.025410539021058984)	(3.0, 0.0)	(4.0, 0.012705269510529492)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dorado_barcode16	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dorado_barcode17	(1.0, 98.89404067917397)	(2.0, 0.234483211725661)	(3.0, 0.10408508898278729)	(4.0, 0.07446870427978904)	(5.0, 0.06202668296014995)	(6.0, 0.05114032040476007)	(7.0, 0.05012732556512555)	(8.0, 0.03347450809764557)	(9.0, 0.01961197917563571)	('>10', 0.2886192963131644)	('>50', 0.08952575058708519)	('>100', 0.06895623407615789)	('>500', 0.029440218658085677)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dorado_barcode18	(1.0, 97.90129591359744)	(2.0, 0.3715461405127957)	(3.0, 0.18526654614673305)	(4.0, 0.12999441321897537)	(5.0, 0.12041545561009737)	(6.0, 0.09964660296385769)	(7.0, 0.08452200608282377)	(8.0, 0.06646770101144941)	(9.0, 0.07635595115839953)	('>10', 0.83238478161234)	('>50', 0.08876181185070646)	('>100', 0.04334267623430209)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dorado_barcode19	(1.0, 96.92307692307692)	(2.0, 0.4733727810650888)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 2.603550295857988)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dorado_barcode20	(1.0, 84.48076184329358)	(2.0, 12.443132560357677)	(3.0, 2.3825018058546736)	(4.0, 0.4809345886532569)	(5.0, 0.11649155411148958)	(6.0, 0.03618200874296984)	(7.0, 0.015652601932986884)	(8.0, 0.0)	(9.0, 0.001279926042917052)	('>10', 0.009999473143166977)	('>50', 0.0041211524765494886)	('>100', 0.028942485390724963)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dorado_barcode21	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dorado_barcode23	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dorado_barcode24	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dorado_unclassified	(1.0, 84.16342253507706)	(2.0, 1.8657995336925137)	(3.0, 0.4778682499905313)	(4.0, 0.20543485341455434)	(5.0, 0.11083542843712026)	(6.0, 0.09019177746760619)	(7.0, 0.10508661066003244)	(8.0, 0.04626272930099427)	(9.0, 0.03798111901648714)	('>10', 0.4311302797376567)	('>50', 0.14404272671101373)	('>100', 0.4713928390708326)	('>500', 0.44275783918249856)	('>1k', 1.1534264727747892)	('>5k', 3.219268169264223)	('>10k+', 7.0350988362020725)
