Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
minknow_barcode11	(8.0, 1.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 1.0)	(13.0, 10.0)	(14.0, 45.0)	(15.0, 62.0)	(16.0, 90.0)	(17.0, 129.0)	(18.0, 168.0)	(19.0, 194.0)	(20.0, 217.0)	(21.0, 288.0)	(22.0, 282.0)	(23.0, 346.0)	(24.0, 337.0)	(25.0, 425.0)	(26.0, 532.0)	(27.0, 600.0)	(28.0, 733.0)	(29.0, 865.0)	(30.0, 1015.0)	(31.0, 1204.0)	(32.0, 1444.0)	(33.0, 1650.0)	(34.0, 1985.0)	(35.0, 2381.0)	(36.0, 2898.0)	(37.0, 3353.0)	(38.0, 3795.0)	(39.0, 4347.0)	(40.0, 4967.0)	(41.0, 5476.0)	(42.0, 5629.0)	(43.0, 5404.0)	(44.0, 4359.0)	(45.0, 2917.0)	(46.0, 1190.0)	(47.0, 285.0)	(48.0, 19.0)				
minknow_barcode12	(15.0, 1.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 0.0)	(21.0, 1.0)	(22.0, 4.0)	(23.0, 0.0)	(24.0, 2.0)	(25.0, 5.0)	(26.0, 6.0)	(27.0, 7.0)	(28.0, 11.0)	(29.0, 7.0)	(30.0, 11.0)	(31.0, 13.0)	(32.0, 11.0)	(33.0, 8.0)	(34.0, 6.0)	(35.0, 8.0)	(36.0, 5.0)	(37.0, 6.0)	(38.0, 2.0)	(39.0, 2.0)	(40.0, 1.0)	(41.0, 1.0)	(42.0, 0.0)	(43.0, 1.0)	(44.0, 1.0)															
minknow_barcode13	(21.0, 1.0)	(22.0, 2.0)	(23.0, 2.0)	(24.0, 0.0)	(25.0, 3.0)	(26.0, 1.0)	(27.0, 1.0)	(28.0, 3.0)	(29.0, 2.0)	(30.0, 3.0)	(31.0, 2.0)	(32.0, 3.0)	(33.0, 7.0)	(34.0, 0.0)	(35.0, 4.0)	(36.0, 0.0)	(37.0, 7.0)	(38.0, 0.0)	(39.0, 3.0)	(40.0, 0.0)	(41.0, 2.0)																								
minknow_barcode14	(13.0, 1.0)	(14.0, 2.0)	(15.0, 3.0)	(16.0, 1.0)	(17.0, 6.0)	(18.0, 6.0)	(19.0, 6.0)	(20.0, 15.0)	(21.0, 11.0)	(22.0, 13.0)	(23.0, 28.0)	(24.0, 21.0)	(25.0, 23.0)	(26.0, 29.0)	(27.0, 20.0)	(28.0, 38.0)	(29.0, 36.0)	(30.0, 44.0)	(31.0, 55.0)	(32.0, 68.0)	(33.0, 61.0)	(34.0, 90.0)	(35.0, 87.0)	(36.0, 102.0)	(37.0, 123.0)	(38.0, 116.0)	(39.0, 146.0)	(40.0, 157.0)	(41.0, 153.0)	(42.0, 194.0)	(43.0, 191.0)	(44.0, 179.0)	(45.0, 139.0)	(46.0, 76.0)	(47.0, 21.0)	(48.0, 5.0)									
minknow_barcode15	(11.0, 1.0)	(12.0, 1.0)	(13.0, 5.0)	(14.0, 9.0)	(15.0, 23.0)	(16.0, 18.0)	(17.0, 52.0)	(18.0, 43.0)	(19.0, 54.0)	(20.0, 66.0)	(21.0, 78.0)	(22.0, 79.0)	(23.0, 99.0)	(24.0, 99.0)	(25.0, 114.0)	(26.0, 151.0)	(27.0, 161.0)	(28.0, 203.0)	(29.0, 241.0)	(30.0, 261.0)	(31.0, 370.0)	(32.0, 394.0)	(33.0, 462.0)	(34.0, 507.0)	(35.0, 595.0)	(36.0, 618.0)	(37.0, 742.0)	(38.0, 876.0)	(39.0, 1084.0)	(40.0, 1176.0)	(41.0, 1363.0)	(42.0, 1553.0)	(43.0, 1542.0)	(44.0, 1378.0)	(45.0, 975.0)	(46.0, 495.0)	(47.0, 132.0)	(48.0, 22.0)							
minknow_barcode16	(21.0, 1.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 1.0)	(26.0, 1.0)	(27.0, 0.0)	(28.0, 1.0)	(29.0, 0.0)	(30.0, 4.0)	(31.0, 2.0)	(32.0, 2.0)	(33.0, 1.0)	(34.0, 2.0)	(35.0, 3.0)	(36.0, 4.0)	(37.0, 0.0)	(38.0, 1.0)	(39.0, 3.0)	(40.0, 2.0)	(41.0, 2.0)																								
minknow_barcode17	(6.0, 1.0)	(7.0, 2.0)	(8.0, 0.0)	(9.0, 2.0)	(10.0, 13.0)	(11.0, 48.0)	(12.0, 260.0)	(13.0, 686.0)	(14.0, 1613.0)	(15.0, 2419.0)	(16.0, 3714.0)	(17.0, 5488.0)	(18.0, 6909.0)	(19.0, 7922.0)	(20.0, 8898.0)	(21.0, 9690.0)	(22.0, 10776.0)	(23.0, 11830.0)	(24.0, 13582.0)	(25.0, 15160.0)	(26.0, 17138.0)	(27.0, 19902.0)	(28.0, 22875.0)	(29.0, 26416.0)	(30.0, 30631.0)	(31.0, 34086.0)	(32.0, 38226.0)	(33.0, 42308.0)	(34.0, 46424.0)	(35.0, 51175.0)	(36.0, 56274.0)	(37.0, 61060.0)	(38.0, 66842.0)	(39.0, 72351.0)	(40.0, 77559.0)	(41.0, 82199.0)	(42.0, 85044.0)	(43.0, 83801.0)	(44.0, 76534.0)	(45.0, 60799.0)	(46.0, 37430.0)	(47.0, 14744.0)	(48.0, 2560.0)	(49.0, 73.0)	
minknow_barcode18	(7.0, 1.0)	(8.0, 0.0)	(9.0, 5.0)	(10.0, 8.0)	(11.0, 56.0)	(12.0, 153.0)	(13.0, 408.0)	(14.0, 963.0)	(15.0, 1370.0)	(16.0, 1972.0)	(17.0, 2726.0)	(18.0, 3563.0)	(19.0, 4077.0)	(20.0, 4626.0)	(21.0, 5205.0)	(22.0, 5653.0)	(23.0, 6319.0)	(24.0, 7016.0)	(25.0, 8037.0)	(26.0, 9172.0)	(27.0, 10393.0)	(28.0, 11901.0)	(29.0, 13514.0)	(30.0, 15654.0)	(31.0, 17818.0)	(32.0, 20259.0)	(33.0, 23095.0)	(34.0, 26014.0)	(35.0, 29641.0)	(36.0, 33356.0)	(37.0, 37426.0)	(38.0, 41332.0)	(39.0, 46211.0)	(40.0, 51086.0)	(41.0, 55894.0)	(42.0, 58910.0)	(43.0, 59933.0)	(44.0, 56119.0)	(45.0, 45140.0)	(46.0, 28238.0)	(47.0, 10797.0)	(48.0, 1691.0)	(49.0, 23.0)		
minknow_barcode19	(17.0, 2.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 2.0)	(21.0, 0.0)	(22.0, 2.0)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 3.0)	(26.0, 4.0)	(27.0, 3.0)	(28.0, 4.0)	(29.0, 2.0)	(30.0, 8.0)	(31.0, 6.0)	(32.0, 6.0)	(33.0, 7.0)	(34.0, 6.0)	(35.0, 6.0)	(36.0, 5.0)	(37.0, 6.0)	(38.0, 6.0)	(39.0, 1.0)	(40.0, 0.0)	(41.0, 3.0)	(42.0, 2.0)	(43.0, 2.0)	(44.0, 2.0)	(45.0, 1.0)	(46.0, 1.0)	(47.0, 1.0)														
minknow_barcode20	(11.0, 6.0)	(12.0, 17.0)	(13.0, 83.0)	(14.0, 302.0)	(15.0, 414.0)	(16.0, 516.0)	(17.0, 706.0)	(18.0, 913.0)	(19.0, 1146.0)	(20.0, 1352.0)	(21.0, 1721.0)	(22.0, 2062.0)	(23.0, 2456.0)	(24.0, 3007.0)	(25.0, 3530.0)	(26.0, 4380.0)	(27.0, 5327.0)	(28.0, 6012.0)	(29.0, 7434.0)	(30.0, 8728.0)	(31.0, 10543.0)	(32.0, 12410.0)	(33.0, 15329.0)	(34.0, 19218.0)	(35.0, 23633.0)	(36.0, 27708.0)	(37.0, 31527.0)	(38.0, 38152.0)	(39.0, 48281.0)	(40.0, 62218.0)	(41.0, 78902.0)	(42.0, 97313.0)	(43.0, 110983.0)	(44.0, 104683.0)	(45.0, 64497.0)	(46.0, 21870.0)	(47.0, 4177.0)	(48.0, 358.0)	(49.0, 1.0)						
minknow_unclassified	(4.0, 1.0)	(5.0, 1.0)	(6.0, 1.0)	(7.0, 2.0)	(8.0, 3.0)	(9.0, 6.0)	(10.0, 17.0)	(11.0, 104.0)	(12.0, 490.0)	(13.0, 1661.0)	(14.0, 3832.0)	(15.0, 5993.0)	(16.0, 8033.0)	(17.0, 10480.0)	(18.0, 12421.0)	(19.0, 13918.0)	(20.0, 15378.0)	(21.0, 17183.0)	(22.0, 19343.0)	(23.0, 21695.0)	(24.0, 24223.0)	(25.0, 27956.0)	(26.0, 31672.0)	(27.0, 35537.0)	(28.0, 40285.0)	(29.0, 45807.0)	(30.0, 50878.0)	(31.0, 57157.0)	(32.0, 63706.0)	(33.0, 71994.0)	(34.0, 80979.0)	(35.0, 91489.0)	(36.0, 103450.0)	(37.0, 116134.0)	(38.0, 129287.0)	(39.0, 144732.0)	(40.0, 159265.0)	(41.0, 170407.0)	(42.0, 173676.0)	(43.0, 163986.0)	(44.0, 123341.0)	(45.0, 57305.0)	(46.0, 11788.0)	(47.0, 907.0)	(48.0, 14.0)
