Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
dorado_barcode11	(1.0, 1.0)	(2.0, 18.0)	(3.0, 81.0)	(4.0, 281.0)	(5.0, 393.0)	(6.0, 395.0)	(7.0, 463.0)	(8.0, 612.0)	(9.0, 792.0)	(10.0, 858.0)	(11.0, 780.0)	(12.0, 626.0)	(13.0, 523.0)	(14.0, 432.0)	(15.0, 399.0)	(16.0, 411.0)	(17.0, 475.0)	(18.0, 523.0)	(19.0, 484.0)	(20.0, 574.0)	(21.0, 638.0)	(22.0, 684.0)	(23.0, 716.0)	(24.0, 768.0)	(25.0, 886.0)	(26.0, 1094.0)	(27.0, 1257.0)	(28.0, 1517.0)	(29.0, 1665.0)	(30.0, 1929.0)	(31.0, 2319.0)	(32.0, 2708.0)	(33.0, 3118.0)	(34.0, 3699.0)	(35.0, 4333.0)	(36.0, 5146.0)	(37.0, 5908.0)	(38.0, 6749.0)	(39.0, 7665.0)	(40.0, 8698.0)	(41.0, 9296.0)	(42.0, 9640.0)	(43.0, 8972.0)	(44.0, 7407.0)	(45.0, 4846.0)	(46.0, 2107.0)	(47.0, 561.0)	(48.0, 105.0)	(49.0, 14.0)	(50.0, 1.0)
dorado_barcode12	(4.0, 4.0)	(5.0, 7.0)	(6.0, 5.0)	(7.0, 9.0)	(8.0, 6.0)	(9.0, 11.0)	(10.0, 9.0)	(11.0, 5.0)	(12.0, 9.0)	(13.0, 6.0)	(14.0, 4.0)	(15.0, 4.0)	(16.0, 6.0)	(17.0, 12.0)	(18.0, 5.0)	(19.0, 9.0)	(20.0, 14.0)	(21.0, 11.0)	(22.0, 7.0)	(23.0, 14.0)	(24.0, 14.0)	(25.0, 12.0)	(26.0, 25.0)	(27.0, 20.0)	(28.0, 29.0)	(29.0, 49.0)	(30.0, 27.0)	(31.0, 35.0)	(32.0, 32.0)	(33.0, 37.0)	(34.0, 31.0)	(35.0, 42.0)	(36.0, 45.0)	(37.0, 49.0)	(38.0, 45.0)	(39.0, 52.0)	(40.0, 66.0)	(41.0, 80.0)	(42.0, 69.0)	(43.0, 87.0)	(44.0, 65.0)	(45.0, 44.0)	(46.0, 21.0)	(47.0, 10.0)						
dorado_barcode13	(6.0, 2.0)	(7.0, 2.0)	(8.0, 2.0)	(9.0, 5.0)	(10.0, 6.0)	(11.0, 7.0)	(12.0, 4.0)	(13.0, 7.0)	(14.0, 5.0)	(15.0, 2.0)	(16.0, 4.0)	(17.0, 2.0)	(18.0, 2.0)	(19.0, 3.0)	(20.0, 3.0)	(21.0, 5.0)	(22.0, 8.0)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 7.0)	(26.0, 10.0)	(27.0, 10.0)	(28.0, 6.0)	(29.0, 16.0)	(30.0, 13.0)	(31.0, 22.0)	(32.0, 16.0)	(33.0, 27.0)	(34.0, 26.0)	(35.0, 31.0)	(36.0, 27.0)	(37.0, 35.0)	(38.0, 52.0)	(39.0, 55.0)	(40.0, 62.0)	(41.0, 59.0)	(42.0, 62.0)	(43.0, 57.0)	(44.0, 68.0)	(45.0, 40.0)	(46.0, 18.0)	(47.0, 9.0)	(48.0, 2.0)	(49.0, 1.0)						
dorado_barcode14	(1.0, 1.0)	(2.0, 1.0)	(3.0, 3.0)	(4.0, 6.0)	(5.0, 15.0)	(6.0, 7.0)	(7.0, 5.0)	(8.0, 18.0)	(9.0, 27.0)	(10.0, 24.0)	(11.0, 27.0)	(12.0, 27.0)	(13.0, 22.0)	(14.0, 19.0)	(15.0, 19.0)	(16.0, 14.0)	(17.0, 19.0)	(18.0, 23.0)	(19.0, 34.0)	(20.0, 23.0)	(21.0, 28.0)	(22.0, 31.0)	(23.0, 56.0)	(24.0, 36.0)	(25.0, 42.0)	(26.0, 44.0)	(27.0, 62.0)	(28.0, 64.0)	(29.0, 79.0)	(30.0, 99.0)	(31.0, 106.0)	(32.0, 125.0)	(33.0, 136.0)	(34.0, 142.0)	(35.0, 184.0)	(36.0, 212.0)	(37.0, 242.0)	(38.0, 245.0)	(39.0, 255.0)	(40.0, 306.0)	(41.0, 322.0)	(42.0, 374.0)	(43.0, 376.0)	(44.0, 336.0)	(45.0, 230.0)	(46.0, 159.0)	(47.0, 50.0)	(48.0, 24.0)	(49.0, 7.0)	(50.0, 1.0)
dorado_barcode15	(2.0, 1.0)	(3.0, 10.0)	(4.0, 52.0)	(5.0, 83.0)	(6.0, 110.0)	(7.0, 114.0)	(8.0, 171.0)	(9.0, 226.0)	(10.0, 234.0)	(11.0, 190.0)	(12.0, 159.0)	(13.0, 167.0)	(14.0, 128.0)	(15.0, 128.0)	(16.0, 112.0)	(17.0, 128.0)	(18.0, 120.0)	(19.0, 182.0)	(20.0, 169.0)	(21.0, 164.0)	(22.0, 207.0)	(23.0, 206.0)	(24.0, 227.0)	(25.0, 289.0)	(26.0, 300.0)	(27.0, 331.0)	(28.0, 404.0)	(29.0, 467.0)	(30.0, 549.0)	(31.0, 676.0)	(32.0, 753.0)	(33.0, 829.0)	(34.0, 926.0)	(35.0, 1127.0)	(36.0, 1236.0)	(37.0, 1359.0)	(38.0, 1715.0)	(39.0, 1949.0)	(40.0, 2205.0)	(41.0, 2465.0)	(42.0, 2651.0)	(43.0, 2657.0)	(44.0, 2414.0)	(45.0, 1656.0)	(46.0, 881.0)	(47.0, 281.0)	(48.0, 61.0)	(49.0, 14.0)		
dorado_barcode16	(5.0, 3.0)	(6.0, 2.0)	(7.0, 0.0)	(8.0, 7.0)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 3.0)	(12.0, 3.0)	(13.0, 1.0)	(14.0, 3.0)	(15.0, 3.0)	(16.0, 5.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 5.0)	(20.0, 2.0)	(21.0, 4.0)	(22.0, 3.0)	(23.0, 10.0)	(24.0, 6.0)	(25.0, 3.0)	(26.0, 6.0)	(27.0, 7.0)	(28.0, 10.0)	(29.0, 8.0)	(30.0, 12.0)	(31.0, 11.0)	(32.0, 15.0)	(33.0, 21.0)	(34.0, 15.0)	(35.0, 14.0)	(36.0, 31.0)	(37.0, 21.0)	(38.0, 40.0)	(39.0, 36.0)	(40.0, 49.0)	(41.0, 39.0)	(42.0, 48.0)	(43.0, 44.0)	(44.0, 44.0)	(45.0, 43.0)	(46.0, 21.0)	(47.0, 7.0)							
dorado_barcode17	(1.0, 20.0)	(2.0, 137.0)	(3.0, 637.0)	(4.0, 2452.0)	(5.0, 4423.0)	(6.0, 5802.0)	(7.0, 7450.0)	(8.0, 9909.0)	(9.0, 12390.0)	(10.0, 13664.0)	(11.0, 12602.0)	(12.0, 11077.0)	(13.0, 9857.0)	(14.0, 9157.0)	(15.0, 9431.0)	(16.0, 10534.0)	(17.0, 12445.0)	(18.0, 14323.0)	(19.0, 15771.0)	(20.0, 16681.0)	(21.0, 17623.0)	(22.0, 18862.0)	(23.0, 20544.0)	(24.0, 22360.0)	(25.0, 24693.0)	(26.0, 28092.0)	(27.0, 31637.0)	(28.0, 36958.0)	(29.0, 41966.0)	(30.0, 47680.0)	(31.0, 53961.0)	(32.0, 58959.0)	(33.0, 64931.0)	(34.0, 70150.0)	(35.0, 76701.0)	(36.0, 83459.0)	(37.0, 89888.0)	(38.0, 96496.0)	(39.0, 103654.0)	(40.0, 110693.0)	(41.0, 116123.0)	(42.0, 119268.0)	(43.0, 116231.0)	(44.0, 105684.0)	(45.0, 84774.0)	(46.0, 53519.0)	(47.0, 23415.0)	(48.0, 6523.0)	(49.0, 1415.0)	(50.0, 93.0)
dorado_barcode18	(1.0, 11.0)	(2.0, 99.0)	(3.0, 557.0)	(4.0, 2434.0)	(5.0, 3722.0)	(6.0, 4304.0)	(7.0, 4996.0)	(8.0, 6080.0)	(9.0, 7129.0)	(10.0, 7851.0)	(11.0, 7283.0)	(12.0, 6383.0)	(13.0, 5798.0)	(14.0, 5358.0)	(15.0, 5321.0)	(16.0, 5859.0)	(17.0, 6391.0)	(18.0, 7318.0)	(19.0, 7876.0)	(20.0, 8630.0)	(21.0, 9167.0)	(22.0, 9368.0)	(23.0, 10373.0)	(24.0, 11126.0)	(25.0, 12435.0)	(26.0, 13940.0)	(27.0, 15584.0)	(28.0, 18068.0)	(29.0, 20446.0)	(30.0, 23571.0)	(31.0, 26639.0)	(32.0, 29864.0)	(33.0, 33072.0)	(34.0, 36942.0)	(35.0, 41313.0)	(36.0, 45532.0)	(37.0, 50387.0)	(38.0, 55099.0)	(39.0, 60688.0)	(40.0, 65986.0)	(41.0, 71189.0)	(42.0, 74264.0)	(43.0, 75003.0)	(44.0, 70228.0)	(45.0, 57838.0)	(46.0, 37499.0)	(47.0, 16388.0)	(48.0, 4209.0)	(49.0, 804.0)	(50.0, 53.0)
dorado_barcode19	(3.0, 3.0)	(4.0, 4.0)	(5.0, 5.0)	(6.0, 4.0)	(7.0, 1.0)	(8.0, 9.0)	(9.0, 7.0)	(10.0, 1.0)	(11.0, 4.0)	(12.0, 4.0)	(13.0, 3.0)	(14.0, 2.0)	(15.0, 4.0)	(16.0, 4.0)	(17.0, 5.0)	(18.0, 4.0)	(19.0, 10.0)	(20.0, 5.0)	(21.0, 4.0)	(22.0, 3.0)	(23.0, 9.0)	(24.0, 8.0)	(25.0, 9.0)	(26.0, 7.0)	(27.0, 13.0)	(28.0, 11.0)	(29.0, 21.0)	(30.0, 24.0)	(31.0, 17.0)	(32.0, 24.0)	(33.0, 20.0)	(34.0, 38.0)	(35.0, 37.0)	(36.0, 44.0)	(37.0, 32.0)	(38.0, 49.0)	(39.0, 39.0)	(40.0, 45.0)	(41.0, 47.0)	(42.0, 54.0)	(43.0, 81.0)	(44.0, 59.0)	(45.0, 37.0)	(46.0, 24.0)	(47.0, 8.0)	(48.0, 1.0)	(49.0, 1.0)			
dorado_barcode20	(1.0, 10.0)	(2.0, 60.0)	(3.0, 255.0)	(4.0, 1407.0)	(5.0, 2534.0)	(6.0, 2960.0)	(7.0, 3663.0)	(8.0, 4554.0)	(9.0, 6111.0)	(10.0, 8126.0)	(11.0, 8681.0)	(12.0, 7603.0)	(13.0, 6121.0)	(14.0, 4944.0)	(15.0, 4234.0)	(16.0, 3947.0)	(17.0, 4020.0)	(18.0, 4038.0)	(19.0, 4235.0)	(20.0, 4463.0)	(21.0, 4935.0)	(22.0, 5323.0)	(23.0, 6123.0)	(24.0, 6857.0)	(25.0, 7966.0)	(26.0, 9332.0)	(27.0, 10679.0)	(28.0, 12391.0)	(29.0, 14400.0)	(30.0, 16515.0)	(31.0, 19651.0)	(32.0, 22752.0)	(33.0, 27613.0)	(34.0, 33661.0)	(35.0, 41317.0)	(36.0, 48988.0)	(37.0, 57461.0)	(38.0, 70552.0)	(39.0, 88978.0)	(40.0, 111646.0)	(41.0, 139825.0)	(42.0, 169797.0)	(43.0, 194088.0)	(44.0, 183105.0)	(45.0, 113514.0)	(46.0, 40004.0)	(47.0, 9357.0)	(48.0, 1592.0)	(49.0, 313.0)	(50.0, 23.0)
